Date,Open,High,Low,Close,Volume,Adj Close
2012-05-08,15.31,15.44,15.09,15.36,18603600,15.36
2012-05-07,15.34,15.49,15.16,15.35,13466000,15.35
2012-05-04,15.25,15.29,15.09,15.15,13753400,15.15
2012-05-03,15.65,15.65,15.33,15.40,10932700,15.40
2012-05-02,15.58,15.77,15.54,15.67,10841000,15.67
2012-05-01,15.51,15.73,15.50,15.63,9799300,15.63
